RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:21:31::069,122,0,0,0,0,8.22,4.70,0.39,79.87,234.87,248.55,37.46,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:21:32::085,123,0,0,0,0,8.22,4.69,0.40,82.07,227.81,250.27,37.48,0.99,66.81,0.00,0.00,0.00
2024/08/08/ 14:21:33::077,124,0,0,0,0,8.22,4.68,0.40,83.10,224.17,250.98,37.49,0.99,66.98,0.00,0.00,0.00
2024/08/08/ 14:21:34::095,125,0,0,0,0,8.23,4.68,0.40,84.11,220.40,251.81,37.49,0.99,67.84,0.00,0.00,0.00
2024/08/08/ 14:21:35::093,126,0,0,0,0,8.22,4.69,0.40,85.19,216.87,252.67,37.51,0.99,66.48,0.00,0.00,0.00
2024/08/08/ 14:21:36::087,127,0,0,0,0,8.21,4.69,0.39,86.15,213.36,253.54,37.52,0.99,68.10,0.00,0.00,0.00
2024/08/08/ 14:21:37::093,128,0,0,0,0,8.21,4.68,0.40,87.13,209.81,254.63,37.53,0.99,67.16,0.00,0.00,0.00
2024/08/08/ 14:21:38::077,129,0,0,0,0,8.22,4.68,0.39,88.15,206.12,255.41,37.56,0.99,66.66,0.00,0.00,0.00
2024/08/08/ 14:21:39::102,130,0,0,0,0,8.22,4.68,0.39,89.27,202.52,256.28,37.57,0.99,66.15,0.00,0.00,0.00
2024/08/08/ 14:21:40::106,131,0,0,0,0,8.21,4.69,0.40,90.27,198.87,257.14,37.57,0.99,67.34,0.00,0.00,0.00
